Tableau de suivi,Objet du projet (ONAGRE),Objet du projet (à utiliser dans DS),"regarder document interprétation dir, nomenclature cas par cas"
,Aménagements fonciers,"Aménagements fonciers (AFAF, remembrement…)",
Carrière,Carrière de matériaux alluvionnaires,Carrières de matériaux alluvionnaires,
Carrière,Carrières,Carrières,
Centre de soins,Conservation des espèces,Conservation des espèces,
Naturalisation,Demande à caractère scientifique,Demande à caractère scientifique,
Désairage,Desaîrage,Desaîrage,
,Événementiel avec ou sans aménagement temporaire,Événementiel avec ou sans aménagement temporaire,
,Exploitation forestière,Exploitation forestière,
,Industries de production de biens et marchandises,Industries de production de biens et marchandises,
Ouvrages hydrauliques,Infrastructure - Autres,Infrastructures - Autres,
Aménagement aéroportuaire,Infrastructures aéroportuaires,Infrastructures aéroportuaires,
,Infrastructures des ouvrages de défense contre la mer,Infrastructures des ouvrages de défense contre la mer,
Protection risques naturels,à supprimer,à supprimer,
Ligne ferroviaire,Infrastructures de transport ferroviaire,Infrastructures de transport ferroviaire,
Port,Infrastructures de transport maritime et fluvial,Infrastructures de transport maritime et fluvial,
Dragage,Infrastructures de transport maritime et fluvial,Infrastructures de transport maritime et fluvial,
Route,Infrastructures de transport routières,Infrastructures de transport routières,
Agricole,Installations agricoles,Installations agricoles,
Déchets,Installations de gestion des déchets,Installations de gestion des déchets,
Loisirs,Installations de loisir et de tourisme,Installations de loisir et de tourisme,
Chasse,Installations de loisir et de tourisme,Installations de loisir et de tourisme,
,Inventaire lié à la connaissance,Inventaire lié à la connaissance,
,Inventaire lié aux aménagements et aux projets,"à rattacher au projet, choix à supprimer",
Naturalisation,Pédagogique enseignement,Pédagogique enseignement,
Tir,Péril animalier,Péril animalier,
Péril aviaire,Péril animalier,Péril animalier,
Piège,Péril animalier,Péril animalier,
,"Plate-formes logistiques, centres commerciaux","Plate-formes logistiques, centres commerciaux",
Retenue,Préservation de la sécurité et santé publique,Préservation de la sécurité et santé publique,
Ouvrages hydrauliques,Préservation de la sécurité et santé publique,Préservation de la sécurité et santé publique,
Travaux cours d’eau,Préservation de la sécurité et santé publique,Préservation de la sécurité et santé publique,
électricité,Production énergie autre-projets liés au nucléaire,Production énergie autre-projets liés au nucléaire,
Nucléaire,Production énergie autre-projets liés au nucléaire,Production énergie autre-projets liés au nucléaire,
Éolien,Production énergie renouvelable (éolien),Production énergie renouvelable - Éolien,
Photovoltaïque,Production énergie renouvelable (photovoltaïque),Production énergie renouvelable - Photovoltaïque,
Hydroélectricité,Production énergie renouvelable (hydroélectricité),Production énergie renouvelable - Hydroélectricité,
Méthaniseur,Production énergie renouvelable (Méhaniseur),"Production énergie renouvelable - Méthaniseur, biomasse",
,Projets de bâtiments pour les services publics-installations sportives,Projets de bâtiments pour les services publics-installations sportives,
,Projets liés à la gestion de l’eau,Projets liés à la gestion de l’eau,
Renaturation milieux,Restauration écologique,Restauration écologique,
,"Restauration, réfection, entretien et démolition de bâtiments et ouvrages d’art","Restauration, réfection, entretien et démolition de bâtiments et ouvrages d’art",
Capture/Relâcher,Demande à caractère scientifique,Demande à caractère scientifique,
Autre scientifique,Demande à caractère scientifique,Demande à caractère scientifique,
Perturbation intentionnelle,Demande à caractère scientifique,Demande à caractère scientifique,
Prélèvement,Demande à caractère scientifique,Demande à caractère scientifique,
Naturalisation,Demande à caractère scientifique,Demande à caractère scientifique,
Canalisation,Transport (autres canalisations),Transport (autres canalisations),
Canalisation,Transport eau aqueduc,Transport eau aqueduc,
électricité,Transport énergie électrique,Transport énergie électrique,
Canalisation,Transport gaz,Transport gaz,
Canalisation,Transport hydrocarbures,Transport hydrocarbures,
Urbanisation,Urbanisation logement,"Urbanisation logement (déclaration préalable travaux, PC, permis d’aménager)",
,UTN (Unité Touristique Nouvelle),UTN (Unité Touristique Nouvelle),
,ZAC,ZAC,
Police,à supprimer,,
Capture/Transport,Demande à caractère scientifique,Demande à caractère scientifique,
Naturalisation,Demande à caractère scientifique,Demande à caractère scientifique,
,Autre,Autre,
,,Dommages aux biens et activités,
